movie_id;movie_slug;title;production_year;release_year;genre;duration_min;coproduction_country;status;director;screenplay_author;production_company;short_synopsis;synopsis_source;approx_budget;original_language
MOV-0131;DO-2022-la-ciguena;La Cigueña;2022;2024;drama;90;DO;released;Alejandro Andújar;;Producciones Guayacanes 007, SRL;Leila, es una joven cubana que se ve envuelta en dificultades financieras después del repentino y trágico fallecimiento de su madre. En medio de una encrucijada y desesperada por pagar sus cuentas bancarias, acepta convertirse en madre sustituta para una pareja bastante misteriosa, Inés y Daniel. Bajo la constante vigilancia de Inés y su empleada doméstica, Grace, lo que en un principio parecía ser una oportunidad para solventar sus problemas económicos, pronto se convierte en una complicada travesía, más que un simple proceso físico. Al ser oprimida, su experiencia emocional se convierte en un horrible martirio al tener cada aspecto de su vida controlado y manipulado. Atrapada sin ninguna otra escapatoria, Leila descubrirá los oscuros secretos que rodean a Inés y Daniel, a medida que su embarazo avanza, obligándola a encontrar el coraje suficiente para enfrentarse de estas enigmáticas personas.;sensacine;84679451;spanish
MOV-0132;DO-2022-la-cuna;La Cuna;2022;;psychological thriller;80;DO;unknown;Juan Fernando Andres Parrilla|Esteban Roel;;The Only One Films, SRL;;pending;84999999.22;spanish
MOV-0133;DO-2020-la-grande;La Grande;2020;2024;drama|biography;103;DO;released;Francisco Alberto Rodríguez;;Lolo Films, SRL;;pending;102171685.1;spanish
MOV-0134;DO-2023-la-guira-y-la-tambora;La Guira Y La Tambora;2023;2025;drama|romance;90;CO;released;Juan Adrián Pucheu Perdomo;;Colorlab Films, SRL;Daniel, un humilde tamborero de merengue típico dominicano, se cruza en el camino de Isabel, la sobrina del alcalde, quien recientemente se mudó al pueblo. Este encuentro despierta su interés por participar en la batalla musical del pueblo, motivado por el deseo de impresionarla. Ahora, Daniel deberá decidir entre el amor y la música.;filmaffinity;64546321.93;spanish
MOV-0135;DO-2022-la-industria-del-silencio;La Industria Del Silencio;2022;;documentary;70;DO;unreleased;Nefi Adonis De Jesús;;Cana Films, SRL;;pending;18546398;spanish
MOV-0136;DO-2022-la-industria-en-rd;La Industria En Rd;2022;2023;documentary;80;DO;released;Máximo Euripides Cabral Jiménez;;Jemipas Films, SRL;;pending;24079618.43;spanish
MOV-0137;DO-2023-la-llorona;La Llorona;2023;;comedy;90;DO;unknown;Francisco Disla Ferreira|Etanislao Conrado Ortiz;;Chic Films, SRL;;pending;79058968.82;spanish
MOV-0138;DO-2022-la-ternura;La Ternura;2022;2023;comedy|fantasy;100;ES;released;Vicente Villanueva;;Bahía Carey Films, SRL;En un reino lejano cuentan las leyendas que existía una celebre y mágica Reina con dos hijas. Un día, su consorte, el Rey, acepta dos matrimonios convenidos para sus dos hijas, una realidad que la Reina no quiere aceptar. Toda ha estado marcada por los mandatos de los hombres y la Reina decide que no quiere lo mismo para sus hijas. Por ello, cuando están de viaje, hunde su barco cerca de una isla desierta para vivir tranquilas las tres. Sin embargo, en la remota isla vive un leñador y sus dos hijos, lo que hará que se tengan que hacer pasar por hombres.;sensacine;84698947;spanish
MOV-0139;DO-2021-las-tres-voces-rotas;Las Tres Voces Rotas;2021;;drama;90;DO;in_festivals;Desiree Julia Díaz Silva|Yinna Isabel De La Cruz López|Sathia Margarita Lorenzo Rossis;;Voces Rotas Films, SRL;“Voces Rotas” es un hibrido sobre tres historias de la mujer dominicana y los conflictos a los que se ven expuestas en el día a día en su centro de trabajo. Ahí se enfrentan al marcado machismo que impera, en ocasiones generando una serie de tragedias que marcan un velo de luto en la sociedad;instagram;59768567.68;spanish
MOV-0140;DO-2022-loading;Loading;2022;;drama;90;DO;unknown;Yimit Ramírez González;;Casa Latina Films, SRL;;pending;22506989.61;spanish
MOV-0141;DO-2023-los-borrachos;Los Borrachos;2023;;tragicomedy;90;DO;unknown;Rafael Fermín Suárez;;Carambola Films, SRL;;pending;59624524.82;spanish
MOV-0142;DO-2022-marcas-de-nuestra-historia;Marcas De Nuestra Historia;2022;;documentary;97;DO;unknown;Pablo Lozano;;Sky Films, SRL;;pending;32857871;spanish
MOV-0143;DO-2023-matinino;Matinino;2023;;docufiction;90;DO;in_festivals;Gabriela Díaz Arp;;Viewfinder, SRL;En este documental visualmente impactante y caleidoscópico, una familia multigeneracional de mujeres puertorriqueñas sin pelos en la lengua se convierte en la protagonista al concebir e interpretar fantásticas viñetas cinematográficas como una forma de afrontar pasados ​​dolorosos.;webpage;49317971.35;spanish
